champion1,champion2,champion3,games,wins,win_rate
Jarvan IV,Nautilus,Annie,26,11,42.31
Pantheon,Senna,Akali,10,1,10.0
Talon,Alistar,Sylas,32,10,31.25
Nocturne,Rumble,Orianna,6,6,100.0
Lee Sin,Alistar,Ambessa,7,7,100.0
Pantheon,Yuumi,Sylas,19,8,42.11
Viego,Rell,Aurora,58,22,37.93
Ekko,Gragas,Yunara,9,9,100.0
Vi,Riven,Orianna,8,8,100.0
Shyvana,Neeko,Sion,8,0,0.0
Belveth,Rell,Viktor,13,4,30.77
Pantheon,Nami,Annie,39,31,79.49
Belveth,Braum,Annie,8,8,100.0
Viego,Nautilus,Mel,31,13,41.94
Viego,Lulu,Annie,14,11,78.57
Belveth,Karma,Yone,13,5,38.46
Nocturne,Braum,Aurora,16,12,75.0
Jarvan IV,Elise,Azir,16,7,43.75
Viego,Bard,Annie,21,20,95.24
Kindred,Alistar,Viktor,20,4,20.0
Trundle,Nautilus,Yone,13,11,84.62
Shaco,Alistar,Smolder,11,2,18.18
Pantheon,Nami,Diana,7,2,28.57
Ekko,Nautilus,Zoe,7,5,71.43
Diana,Pantheon,Kassadin,3,3,100.0
Wukong,Camille,Viktor,8,5,62.5
Elise,Janna,Neeko,5,5,100.0
Pantheon,Lulu,Riven,5,0,0.0
Kindred,Pyke,Orianna,10,2,20.0
Pantheon,Bard,Ryze,31,22,70.97
Pantheon,Senna,Aurora,18,0,0.0
Jarvan IV,Sona,Sylas,30,18,60.0
Belveth,Seraphine,Diana,8,8,100.0
Trundle,Rell,Orianna,37,14,37.84
Viego,Seraphine,Orianna,6,5,83.33
Sejuani,Lulu,Naafiri,5,0,0.0
Shaco,Poppy,Corki,15,9,60.0
Jarvan IV,Alistar,Ryze,33,30,90.91
Viego,Alistar,Gragas,24,18,75.0
Pantheon,Taric,Fizz,10,0,0.0
Viego,Neeko,Riven,9,9,100.0
Pantheon,Heimerdinger,Akali,9,0,0.0
Zed,Leona,Azir,12,9,75.0
Xin Zhao,Zyra,Vladimir,13,6,46.15
Ivern,Soraka,Azir,15,5,33.33
Xin Zhao,Alistar,Viktor,26,9,34.62
Talon,Alistar,Xerath,4,4,100.0
Graves,Yuumi,Syndra,1,0,0.0
Wukong,Sona,Galio,6,6,100.0
Lee Sin,Lulu,Lissandra,11,3,27.27
Pantheon,Braum,Ambessa,13,12,92.31
Viego,Alistar,Orianna,34,25,73.53
Jarvan IV,Alistar,Ziggs,12,8,66.67
Vi,Rell,Orianna,14,6,42.86
Qiyana,Rell,Orianna,23,12,52.17
Wukong,Alistar,Zac,10,1,10.0
Jarvan IV,Nautilus,Orianna,36,13,36.11
Pantheon,Alistar,Sylas,52,34,65.38
Vi,Rakan,Taliyah,82,41,50.0
Zed,Alistar,Aurora,37,21,56.76
Elise,Braum,Chogath,8,8,100.0
Viego,Nautilus,Ryze,44,15,34.09
Xin Zhao,Alistar,Yone,11,1,9.09
Viego,Nautilus,Aurora,85,38,44.71
Zyra,Renata,Zed,8,8,100.0
Ekko,Fiddlesticks,Viktor,8,0,0.0
Lee Sin,Nautilus,Twisted Fate,56,26,46.43
Pantheon,Milio,Sylas,27,15,55.56
Lee Sin,Nautilus,Kayle,18,12,66.67
Udyr,Nami,Orianna,19,14,73.68
Volibear,Pyke,Ahri,4,1,25.0
Kayn,Janna,Sylas,9,6,66.67
Ivern,Leona,Caitlyn,5,5,100.0
Dr. Mundo,Kled,Kayle,5,0,0.0
Viego,Poppy,Nidalee,2,0,0.0
Hecarim,Rell,Riven,2,2,100.0
Viego,Zilean,Ryze,14,6,42.86
Ivern,Rakan,Azir,7,1,14.29
Fiddlesticks,Janna,Azir,4,4,100.0
Taliyah,Rell,Yone,16,8,50.0
Ivern,Zyra,Pantheon,3,0,0.0
Jarvan IV,Lux,Taliyah,4,3,75.0
Udyr,Milio,Ahri,3,3,100.0
Shaco,Sona,Aurora,5,0,0.0
Yuumi,Pantheon,Rumble,2,0,0.0
Gwen,Nami,Vladimir,3,3,100.0
Gwen,Neeko,Nidalee,5,0,0.0
Ekko,Pyke,Azir,16,14,87.5
Belveth,Sona,Taliyah,21,21,100.0
Rammus,Yuumi,Zoe,7,0,0.0
Nunu & Willump,Shen,Taliyah,3,0,0.0
Graves,Nautilus,Twisted Fate,14,8,57.14
Nunu & Willump,Leona,Ahri,2,2,100.0
Volibear,Karma,Karthus,2,0,0.0
Nunu & Willump,Nautilus,Naafiri,3,0,0.0
Ivern,Nidalee,Caitlyn,3,3,100.0
Hecarim,Poppy,Sylas,5,2,40.0
Jarvan IV,Nautilus,Naafiri,3,3,100.0
Talon,Neeko,Renekton,3,3,100.0
Karthus,Alistar,Naafiri,3,0,0.0
Gragas,Sylas,Caitlyn,1,0,0.0
Talon,Alistar,Twisted Fate,20,9,45.0
Viego,Zoe,Twisted Fate,2,0,0.0
Volibear,Poppy,Lissandra,9,9,100.0
Nidalee,Nautilus,Corki,39,19,48.72
Lee Sin,Rell,Taliyah,56,51,91.07
Lee Sin,Braum,Zoe,22,13,59.09
Hecarim,Nautilus,Lissandra,6,4,66.67
Nidalee,Alistar,Kassadin,10,2,20.0
Karthus,Gragas,Ryze,2,0,0.0
Nidalee,Alistar,Syndra,19,7,36.84
Ambessa,Nami,Zac,6,6,100.0
Ambessa,Pyke,LeBlanc,4,4,100.0
Qiyana,Morgana,Zac,4,0,0.0
Jarvan IV,Bard,Neeko,12,9,75.0
Nidalee,Blitzcrank,Aurora,7,4,57.14
Volibear,Alistar,Twisted Fate,7,6,85.71
Jax,Karma,Zoe,12,6,50.0
Vayne,Poppy,Mel,8,8,100.0
Lee Sin,Nautilus,Ahri,39,17,43.59
Pantheon,Bard,Hwei,35,15,42.86
Lee Sin,Nautilus,Syndra,41,26,63.41
Lee Sin,Karma,Hwei,35,12,34.29
Volibear,Rell,Twisted Fate,12,2,16.67
Jarvan IV,Rakan,Kennen,13,0,0.0
Poppy,Karma,Zoe,8,8,100.0
Wukong,Renata,Zoe,5,0,0.0
Pantheon,Lulu,Nidalee,6,5,83.33
Talon,Janna,Hwei,12,5,41.67
Nunu & Willump,Senna,Riven,1,0,0.0
Zac,Neeko,Riven,2,2,100.0
Volibear,Diana,Ryze,2,0,0.0
Belveth,Shaco,Aurora,2,2,100.0
Nidalee,Janna,Azir,8,4,50.0
Gwen,Sona,Varus,1,0,0.0
Elise,Milio,Riven,1,1,100.0
Nidalee,Alistar,Riven,2,0,0.0
Lee Sin,Milio,Twisted Fate,15,9,60.0
Lee Sin,Thresh,Zoe,19,9,47.37
Poppy,Braum,Kayle,4,4,100.0
Rammus,Lulu,Akali,5,5,100.0
Belveth,Rakan,Sylas,11,6,54.55
Lee Sin,Zilean,Zoe,10,1,10.0
Nidalee,Nautilus,Katarina,5,3,60.0
