champion1,champion2,games,wins,win_rate
Janna,Ambessa,8,8,100.0
Riven,Zyra,40,13,32.5
Teemo,Jarvan IV,206,135,65.53
Yasuo,Trundle,78,54,69.23
Renekton,Chogath,10,0,0.0
Yunara,Karthus,14,6,42.86
Aatrox,Lillia,162,76,46.91
Azir,Skarner,14,0,0.0
Darius,Skarner,25,7,28.0
Darius,Tryndamere,3,0,0.0
Gnar,Nocturne,73,34,46.58
Urgot,Vi,58,29,50.0
Olaf,Lee Sin,99,71,71.72
KSante,Lee Sin,321,127,39.56
Urgot,Pantheon,162,89,54.94
Gnar,Lee Sin,174,78,44.83
Sion,Ekko,193,88,45.6
Sejuani,Qiyana,15,8,53.33
Azir,Trundle,48,30,62.5
Olaf,Gragas,9,7,77.78
Aatrox,Hecarim,172,72,41.86
Chogath,Ekko,62,32,51.61
KSante,Vi,153,62,40.52
Gangplank,Jarvan IV,229,103,44.98
Jax,Talon,213,95,44.6
Viego,Ambessa,5,0,0.0
Kennen,Nidalee,37,12,32.43
Tryndamere,Karthus,27,18,66.67
Dr. Mundo,Nidalee,99,41,41.41
Chogath,Zed,106,52,49.06
Shaco,Lee Sin,11,7,63.64
Vladimir,Nidalee,40,10,25.0
Trundle,Zed,40,17,42.5
Kled,Zed,99,42,42.42
Fiora,Qiyana,76,37,48.68
Kennen,Nunu & Willump,25,15,60.0
Nidalee,Nocturne,20,2,10.0
Yorick,Zed,171,77,45.03
Aurora,Talon,58,39,67.24
Aurora,Jax,47,27,57.45
Gnar,Wukong,108,57,52.78
Ryze,Ambessa,16,11,68.75
Zac,Jarvan IV,54,28,51.85
Renekton,Pantheon,429,237,55.24
Darius,Wukong,80,51,63.75
Yasuo,Lee Sin,157,78,49.68
Sett,Lee Sin,166,84,50.6
Chogath,Karthus,35,18,51.43
KSante,Ekko,207,79,38.16
Sion,Lee Sin,319,147,46.08
Rumble,Zyra,7,0,0.0
Camille,Volibear,115,36,31.3
Jayce,Graves,80,35,43.75
Aurora,Pantheon,198,118,59.6
Graves,Gwen,11,5,45.45
Ambessa,Brand,20,15,75.0
Urgot,Naafiri,61,18,29.51
Kayle,Vi,57,37,64.91
Gwen,Udyr,94,63,67.02
Yorick,Evelynn,37,18,48.65
Yone,Zyra,15,12,80.0
Gwen,Qiyana,85,39,45.88
Ambessa,KhaZix,216,108,50.0
Ambessa,Fiddlesticks,122,72,59.02
Gwen,Dr. Mundo,88,42,47.73
Kled,Trundle,61,31,50.82
Riven,Shaco,75,45,60.0
Urgot,Taliyah,9,1,11.11
Lee Sin,Ambessa,3,0,0.0
Yorick,Trundle,175,109,62.29
Ryze,Pantheon,152,85,55.92
Gragas,Evelynn,31,15,48.39
Ryze,Naafiri,88,33,37.5
Rumble,Lee Sin,263,132,50.19
Sion,Naafiri,88,37,42.05
Irelia,Xin Zhao,157,82,52.23
Kled,Brand,4,0,0.0
Heimerdinger,Talon,25,11,44.0
Quinn,Naafiri,43,27,62.79
Azir,Ivern,19,6,31.58
Kayle,Xin Zhao,53,36,67.92
Mordekaiser,Pantheon,99,58,58.59
Quinn,Vi,23,9,39.13
Singed,Trundle,67,33,49.25
Akali,Viego,161,73,45.34
Sion,Gragas,23,6,26.09
Yone,Qiyana,36,18,50.0
Jax,Vi,230,129,56.09
Ryze,Jarvan IV,113,80,70.8
Chogath,Trundle,74,45,60.81
Aatrox,Ivern,111,66,59.46
Aurora,Naafiri,79,40,50.63
Chogath,Nocturne,59,28,47.46
Vayne,Qiyana,21,5,23.81
Kennen,Qiyana,38,21,55.26
Gwen,Rengar,145,65,44.83
Pantheon,Lee Sin,69,38,55.07
Gragas,Belveth,96,55,57.29
Malphite,Rengar,49,19,38.78
