blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Bard,Azir,KogMaw,Xayah,13.19,Hans Sama,Elk,,,,
Alistar,Renekton,Braum,Milio,13.19,Mikyx,ON,,,,
,,,,,,,G2 Esports,Bilibili Gaming,red_side,blue_side
Jax,Kalista,Olaf,Renekton,13.19,Brokenblade,Bin,,,,
Xayah,Draven,Nocturne,Maokai,13.19,Yike,XUN,,,,
Alistar,Poppy,Neeko,Jayce,13.19,Caps,Yagao,,,,
Tristana,Nautilus,Kaisa,Zeri,13.19,Hans Sama,Elk,,,,
Renata Glasc,Rell,Lissandra,Rakan,13.19,Mikyx,ON,,,,
,,,,,,,G2 Esports,Bilibili Gaming,blue_side,red_side
Kalista,Xayah,Renekton,Gnar,13.19,Bin,Brokenblade,,,,
Draven,Neeko,Jarvan IV,Maokai,13.19,XUN,Yike,,,,
Poppy,Jax,Orianna,Azir,13.19,Yagao,Caps,,,,
Rakan,Alistar,Ashe,Kaisa,13.19,Elk,Hans Sama,,,,
Rell,Aphelios,Braum,Bard,13.19,ON,Mikyx,,,,
,,,,,,,Bilibili Gaming,G2 Esports,blue_side,red_side
Neeko,Xayah,KSante,Aatrox,13.19,Oscarinin,TheShy,,,,
Rumble,Jarvan IV,Sejuani,Poppy,13.19,Razork,WeiWei,,,,
Kalista,Maokai,Orianna,Sylas,13.19,Humanoid,xiaohu,,,,
Azir,Nautilus,Aphelios,Zeri,13.19,Noah,Light,,,,
Syndra,Ivern,Milio,Renata Glasc,13.19,Trymbi,Crisp,,,,
,,,,,,,Fnatic,Weibo Gaming,blue_side,red_side
Jarvan IV,Neeko,Gnar,KSante,13.19,TheShy,Oscarinin,,,,
Azir,Rumble,Maokai,Lee Sin,13.19,WeiWei,Razork,,,,
Xayah,Orianna,Taliyah,Syndra,13.19,xiaohu,Humanoid,,,,
Nautilus,Poppy,Aphelios,Kalista,13.19,Light,Noah,,,,
Vi,Akali,Renata Glasc,Rell,13.19,Crisp,Trymbi,,,,
,,,,,,,Weibo Gaming,Fnatic,blue_side,red_side
Neeko,Xayah,Olaf,KSante,13.19,Oscarinin,TheShy,,,,
Rumble,Jarvan IV,Sejuani,Maokai,13.19,Razork,WeiWei,,,,
Renata Glasc,Orianna,Sylas,Azir,13.19,Humanoid,xiaohu,,,,
Kalista,Nautilus,Aphelios,Caitlyn,13.19,Noah,Light,,,,
Jinx,Poppy,Alistar,Lux,13.19,Trymbi,Crisp,,,,
,,,,,,,Fnatic,Weibo Gaming,red_side,blue_side
Renata Glasc,Maokai,Ryze,Rumble,13.19,Kiin,Canna,,,,
Lee Sin,Xayah,Viego,Jarvan IV,13.19,Cuzz,Canyon,,,,
Kalista,Kaisa,Azir,Neeko,13.19,Bdd,ShowMaker,,,,
Alistar,Sejuani,Zeri,Aphelios,13.19,Aiming,Deft,,,,
Orianna,KSante,Nautilus,Rell,13.19,Lehends,Kellin,,,,
,,,,,,,KT Rolster,Dplus KIA,blue_side,red_side
Maokai,Xayah,Renekton,Gnar,13.19,Canna,Kiin,,,,
Kaisa,Kalista,Jarvan IV,Viego,13.19,Canyon,Cuzz,,,,
Rumble,Lee Sin,Ahri,Neeko,13.19,ShowMaker,Bdd,,,,
Vi,Azir,Aphelios,Zeri,13.19,Deft,Aiming,,,,
Sejuani,Orianna,Alistar,Nautilus,13.19,Kellin,Lehends,,,,
,,,,,,,Dplus KIA,KT Rolster,red_side,blue_side
Maokai,Rumble,Gnar,Renekton,13.19,Zeus,Bin,,,,
Neeko,Xayah,Jarvan IV,Nidalee,13.19,Oner,XUN,,,,
Jax,Renata Glasc,Azir,Orianna,13.19,Faker,Yagao,,,,
Rakan,Alistar,Tahm Kench,Kaisa,13.19,Keria,Elk,,,,
Sejuani,Caitlyn,Senna,Rell,13.19,Gumayusi,ON,,,,
,,,,,,,T1,Bilibili Gaming,blue_side,red_side
Renata Glasc,Maokai,Jax,Gragas,13.19,Bin,Zeus,,,,
Azir,Rakan,Vi,Jarvan IV,13.19,XUN,Oner,,,,
Rumble,Neeko,Syndra,Orianna,13.19,Yagao,Faker,,,,
Caitlyn,Blitzcrank,Xayah,Jinx,13.19,Elk,Gumayusi,,,,
Kaisa,Sejuani,Alistar,Tahm Kench,13.19,ON,Keria,,,,
,,,,,,,Bilibili Gaming,T1,red_side,blue_side
Draven,Orianna,KSante,Jax,13.19,Dhokla,Brokenblade,,,,
Kalista,Xayah,Vi,Belveth,13.19,Contractz,Yike,,,,
Tristana,Alistar,Neeko,Syndra,13.19,Palafox,Caps,,,,
Olaf,Rakan,Tahm Kench,Kaisa,13.19,IgNar,Hans Sama,,,,
Viego,Renata Glasc,Senna,Rell,13.19,FBI,Mikyx,,,,
,,,,,,,NRG,G2 Esports,blue_side,red_side
Senna,Draven,Ornn,Rumble,13.19,Brokenblade,Dhokla,,,,
Maokai,Kalista,Poppy,Jarvan IV,13.19,Yike,Contractz,,,,
Orianna,Viego,Azir,Taliyah,13.19,Caps,Palafox,,,,
Neeko,KSante,Xayah,Sivir,13.19,Hans Sama,FBI,,,,
Aphelios,Jax,Nautilus,Rakan,13.19,Mikyx,IgNar,,,,
,,,,,,,G2 Esports,NRG,red_side,blue_side
Kalista,Xayah,KSante,Jax,13.19,Kiin,Zika,,,,
Kaisa,Rumble,Maokai,Jarvan IV,13.19,Cuzz,Tarzan,,,,
Orianna,Azir,Jayce,Neeko,13.19,Bdd,Scout,,,,
Rakan,Zeri,Jinx,Aphelios,13.19,Aiming,GALA,,,,
Nautilus,Varus,Alistar,Renata Glasc,13.19,Lehends,Hang,,,,
,,,,,,,KT Rolster,LNG Esports,red_side,blue_side
Maokai,Xayah,Renekton,Jax,13.19,Kiin,Zika,,,,
Renata Glasc,Rumble,Sejuani,Jarvan IV,13.19,Cuzz,Tarzan,,,,
Tristana,Neeko,Taliyah,Azir,13.19,Bdd,Scout,,,,
Alistar,Viego,Kaisa,Sivir,13.19,Aiming,GALA,,,,
Rakan,Vi,Nautilus,Leona,13.19,Lehends,Hang,,,,
,,,,,,,KT Rolster,LNG Esports,blue_side,red_side
Rumble,Maokai,Renekton,Ornn,13.19,Zika,Kiin,,,,
Neeko,Xayah,Wukong,Vi,13.19,Tarzan,Cuzz,,,,
Zeri,Renata Glasc,Orianna,Azir,13.19,Scout,Bdd,,,,
Poppy,Sylas,Kaisa,Aphelios,13.19,GALA,Aiming,,,,
Jax,Jarvan IV,Rakan,Alistar,13.19,Hang,Lehends,,,,
