blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Akali,Jarvan IV,Lulu,Yuumi,12.15,Hang,meiko,,,,
,,,,,,,Funplus Phoenix,Edward Gaming,red_side,blue_side
Draven,Poppy,Jax,Renekton,12.15,Summit,Flandre,,,,
Azir,Sylas,Viego,Wukong,12.15,Clid,JunJia,,,,
Kalista,Gnar,Ahri,Taliyah,12.15,Care,Scout,,,,
LeBlanc,Vi,Zeri,Sivir,12.15,Lwx,Viper,,,,
Lissandra,Jarvan IV,Lulu,Yuumi,12.15,Hang,meiko,,,,
,,,,,,,Funplus Phoenix,Edward Gaming,blue_side,red_side
Gnar,Draven,Ornn,Kennen,12.15,Flandre,Summit,,,,
Jax,Kalista,Trundle,Wukong,12.15,JunJia,Clid,,,,
Ahri,Poppy,Azir,Yone,12.15,Scout,Care,,,,
LeBlanc,Vi,Lucian,Zeri,12.15,Viper,Lwx,,,,
Sylas,Sejuani,Nami,Lulu,12.15,meiko,Hang,,,,
,,,,,,,Edward Gaming,Funplus Phoenix,blue_side,red_side
LeBlanc,Renekton,Kennen,Sejuani,12.15,Ale,Bin,,,,
Kalista,Zeri,Wukong,Trundle,12.15,Tarzan,WeiWei,,,,
Vi,Poppy,Nocturne,Ahri,12.15,Doinb,icon,,,,
Lissandra,Akali,Aphelios,Draven,12.15,Light,Doggo,,,,
Renata Glasc,Taliyah,Leona,Thresh,12.15,LvMao,Crisp,,,,
,,,,,,,LNG Esports,Bilibili Gaming,blue_side,red_side
LeBlanc,Renekton,Fiora,Jax,12.15,Ale,Bin,,,,
Kalista,Zeri,Poppy,Trundle,12.15,Tarzan,WeiWei,,,,
Vi,Kennen,Corki,Taliyah,12.15,Doinb,icon,,,,
Yuumi,Akali,Lucian,Nilah,12.15,Light,Doggo,,,,
Pyke,Sejuani,Nami,Amumu,12.15,LvMao,Crisp,,,,
,,,,,,,LNG Esports,Bilibili Gaming,blue_side,red_side
LeBlanc,Renekton,Kennen,Jax,12.15,Ale,Bin,,,,
Kalista,Zeri,Wukong,Xin Zhao,12.15,Tarzan,WeiWei,,,,
Vi,Poppy,Nocturne,Akali,12.15,Doinb,icon,,,,
Sejuani,Sivir,Lucian,Aphelios,12.15,Light,Doggo,,,,
Lissandra,Rakan,Nami,Renata Glasc,12.15,LvMao,Crisp,,,,
,,,,,,,LNG Esports,Bilibili Gaming,red_side,blue_side
Renekton,Zeri,Fiora,Gnar,12.15,Bin,Ale,,,,
Kennen,LeBlanc,Poppy,Trundle,12.15,WeiWei,Tarzan,,,,
Taliyah,Jax,Azir,Corki,12.15,icon,Doinb,,,,
Akali,Nautilus,Aphelios,Kalista,12.15,Doggo,Light,,,,
Nocturne,Lulu,Rakan,Renata Glasc,12.15,Crisp,LvMao,,,,
,,,,,,,Bilibili Gaming,LNG Esports,red_side,blue_side
Kalista,Sylas,Rumble,Aatrox,12.15,shanji,Summit,,,,
Gnar,Poppy,Trundle,Vi,12.15,AKi,Clid,,,,
Lucian,Wukong,Ahri,Lissandra,12.15,Creme,Care,,,,
Lee Sin,Xin Zhao,Tristana,Zeri,12.15,Able,Lwx,,,,
Gwen,Pantheon,Nautilus,Braum,12.15,cold,Hang,,,,
,,,,,,,OMG,Funplus Phoenix,red_side,blue_side
Kalista,Sylas,Renekton,Gnar,12.15,shanji,Summit,,,,
Zeri,Poppy,Wukong,Jarvan IV,12.15,AKi,Clid,,,,
Lucian,Akali,Ahri,Lissandra,12.15,Creme,Care,,,,
Vi,Alistar,Aphelios,Sivir,12.15,Able,Lwx,,,,
Xin Zhao,Nautilus,Amumu,Yuumi,12.15,cold,Hang,,,,
,,,,,,,OMG,Funplus Phoenix,blue_side,red_side
Kalista,Sylas,Rumble,Aatrox,12.15,shanji,Summit,,,,
Zeri,Poppy,Xin Zhao,Lee Sin,12.15,AKi,Clid,,,,
Lucian,Wukong,Ahri,Lissandra,12.15,Creme,Care,,,,
Vi,Amumu,Samira,Sivir,12.15,Able,Lwx,,,,
