blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
LeBlanc,KSante,Tristana,Ahri,13.12,Vicla,Haeri,,,,
Varus,Jayce,Xayah,Ashe,13.12,Prince,Yeon,,,,
Aphelios,Maokai,Rakan,Milio,13.12,Vulcan,CoreJJ,,,,
,,,,,,,FlyQuest,Team Liquid,blue_side,red_side
Maokai,Neeko,Renekton,KSante,13.12,Revenge,Hauntzer,,,,
Blitzcrank,LeBlanc,Sejuani,Nocturne,13.12,Armao,Bugi,,,,
Vi,Ahri,Yone,Azir,13.12,jojopyun,Ruby,,,,
Malphite,Sylas,Varus,Kaisa,13.12,UNF0RGIVEN,WildTurtle,,,,
Poppy,Draven,Milio,Rakan,13.12,Eyla,Chime,,,,
,,,,,,,Evil Geniuses,TSM,blue_side,red_side
Sejuani,Neeko,Kennen,Jayce,13.12,Fudge,Dhokla,,,,
Ivern,LeBlanc,Vi,Wukong,13.12,Blaber,Contractz,,,,
Rakan,Maokai,Annie,Azir,13.12,EMENES,Palafox,,,,
