blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
,,,,,,,Royal Never Give Up,Team WE,red_side,blue_side
Lee Sin,Nidalee,Camille,Jax,12.4,Zika,Wayward,,,,
Draven,Ryze,Hecarim,Viego,12.4,XUN,Tian,,,,
Jayce,Gwen,Ahri,Vex,12.4,Yuekai,Knight,,,,
LeBlanc,Leona,Zeri,Tristana,12.4,Wink,JackeyLove,,,,
Graves,Rakan,Taric,Nautilus,12.4,XinLiu,Mark,,,,
,,,,,,,Invictus Gaming,Top Esports,blue_side,red_side
Nidalee,Zeri,Jayce,Gwen,12.4,Wayward,Zika,,,,
Ahri,Lee Sin,Hecarim,Xin Zhao,12.4,Tian,XUN,,,,
Akali,Ryze,Syndra,LeBlanc,12.4,Knight,Yuekai,,,,
Rakan,Zoe,Jinx,Aphelios,12.4,JackeyLove,Wink,,,,
Vex,Viktor,Renata Glasc,Leona,12.4,Mark,XinLiu,,,,
,,,,,,,Top Esports,Invictus Gaming,blue_side,red_side
Lee Sin,Nidalee,Camille,Fiora,12.4,Zika,Wayward,,,,
Draven,Ahri,Kindred,Viego,12.4,XUN,Tian,,,,
Jayce,Gwen,Galio,Ryze,12.4,Yuekai,Knight,,,,
Xin Zhao,Taric,Zeri,Tristana,12.4,Wink,JackeyLove,,,,
Hecarim,Rakan,Alistar,Renata Glasc,12.4,XinLiu,Mark,,,,
,,,,,,,Invictus Gaming,Top Esports,blue_side,red_side
Nidalee,Twisted Fate,Graves,Jax,12.4,TheShy,Cube,,,,
Zeri,Lee Sin,Hecarim,Volibear,12.4,SofM,Leyan,,,,
Jayce,Gwen,Galio,Ryze,12.4,Angel,Strive,,,,
Tryndamere,Zilean,Jinx,Kaisa,12.4,huanfeng,iBOY,,,,
Nautilus,Ahri,Rakan,Rell,12.4,ON,yuyanjia,,,,
,,,,,,,Weibo Gaming,Rare Atom,red_side,blue_side
Nidalee,Twisted Fate,Gnar,Graves,12.4,TheShy,Cube,,,,
Zeri,Lee Sin,Viego,Hecarim,12.4,SofM,Leyan,,,,
Jayce,Gwen,Orianna,Ryze,12.4,Angel,Strive,,,,
Nautilus,Zilean,Jinx,Kaisa,12.4,huanfeng,iBOY,,,,
Tryndamere,Ahri,Rakan,Leona,12.4,ON,yuyanjia,,,,
,,,,,,,Weibo Gaming,Rare Atom,red_side,blue_side
Ryze,Jinx,Gwen,Jayce,12.4,Breathe,Flandre,,,,
Vex,Caitlyn,Volibear,Viego,12.4,WeiWei,Jiejie,,,,
LeBlanc,Ahri,Galio,Twisted Fate,12.4,FoFo,Scout,,,,
Nautilus,Orianna,Zeri,Kaisa,12.4,Uzi,Viper,,,,
Graves,Sylas,Renata Glasc,Alistar,12.4,Crisp,meiko,,,,
,,,,,,,Bilibili Gaming,Edward Gaming,blue_side,red_side
Viego,Ryze,Gwen,Graves,12.4,Flandre,Breathe,,,,
Galio,Aphelios,Xin Zhao,Hecarim,12.4,Jiejie,WeiWei,,,,
Renata Glasc,Lee Sin,Sylas,Ahri,12.4,Scout,FoFo,,,,
Volibear,LeBlanc,Zeri,Kaisa,12.4,Viper,Uzi,,,,
Jayce,Vex,Leona,Nautilus,12.4,meiko,Crisp,,,,
,,,,,,,Edward Gaming,Bilibili Gaming,blue_side,red_side
Ryze,Aphelios,Tryndamere,Gnar,12.4,Breathe,Flandre,,,,
Vex,Renata Glasc,Lee Sin,Viego,12.4,WeiWei,Jiejie,,,,
LeBlanc,Volibear,Ahri,Twisted Fate,12.4,FoFo,Scout,,,,
Graves,Nautilus,Zeri,Jinx,12.4,Uzi,Viper,,,,
Jayce,Gwen,Alistar,Tahm Kench,12.4,Crisp,meiko,,,,
,,,,,,,Bilibili Gaming,Edward Gaming,red_side,blue_side
Gwen,Tahm Kench,Renekton,Gnar,12.4,fearness,Ale,,,,
Ryze,Zeri,Diana,Lee Sin,12.4,Shad0w,Tarzan,,,,
Twisted Fate,Hecarim,Zoe,Corki,12.4,Jay,Doinb,,,,
Akali,Xin Zhao,Jinx,Aphelios,12.4,Eric,Light,,,,
Jax,Viego,Nautilus,Leona,12.4,jinjiao,Iwandy,,,,
,,,,,,,LGD Gaming,LNG Esports,blue_side,red_side
Lee Sin,Gwen,Jayce,Tryndamere,12.4,Ale,fearness,,,,
Nautilus,Twisted Fate,Xin Zhao,Viego,12.4,Tarzan,Shad0w,,,,
Renekton,Zeri,Karma,Ryze,12.4,Doinb,Jay,,,,
Volibear,Galio,Jinx,Aphelios,12.4,Light,Eric,,,,
Malphite,Akali,Rakan,Tahm Kench,12.4,Iwandy,jinjiao,,,,
,,,,,,,LNG Esports,LGD Gaming,blue_side,red_side
Gwen,Jinx,Camille,Sion,12.4,fearness,Ale,,,,
Ryze,Aphelios,Diana,Lee Sin,12.4,Shad0w,Tarzan,,,,
Tristana,Zeri,Renekton,Karma,12.4,Jay,Doinb,,,,
Twisted Fate,Kaisa,Ezreal,Xayah,12.4,Eric,Light,,,,
Vex,Samira,Nautilus,Rakan,12.4,jinjiao,Iwandy,,,,
,,,,,,,LGD Gaming,LNG Esports,red_side,blue_side
Hecarim,Aphelios,Gnar,Graves,12.4,TheShy,Wayward,,,,
Nautilus,Gwen,Jarvan IV,Viego,12.4,SofM,Tian,,,,
Zeri,Jinx,Ryze,Ahri,12.4,Angel,Knight,,,,
Galio,Akshan,Caitlyn,Tristana,12.4,huanfeng,JackeyLove,,,,
Vex,Lee Sin,Lux,Rakan,12.4,ON,Mark,,,,
,,,,,,,Weibo Gaming,Top Esports,red_side,blue_side
Gwen,Hecarim,Tryndamere,Jayce,12.4,Wayward,TheShy,,,,
Aphelios,Graves,Xin Zhao,Lee Sin,12.4,Tian,SofM,,,,
Viego,Zeri,Veigar,Ahri,12.4,Knight,Angel,,,,
Rakan,Vex,Jinx,Xayah,12.4,JackeyLove,huanfeng,,,,
Malphite,LeBlanc,Nautilus,Leona,12.4,Mark,ON,,,,
,,,,,,,Top Esports,Weibo Gaming,blue_side,red_side
Lee Sin,Nidalee,Jayce,Sion,12.4,Cube,Aliez,,,,
Twisted Fate,Gwen,Hecarim,Xin Zhao,12.4,Leyan,H4cker,,,,
Ryze,Zeri,Lissandra,LeBlanc,12.4,Strive,Cryin,,,,
