blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Trundle,Wukong,Aatrox,Urgot,12.15,ssumday,Bwipo,,,,
Draven,Kalista,Poppy,Vi,12.15,Closer,Santorin,,,,
Azir,Aphelios,Ahri,Zilean,12.15,Abbedagge,Bjergsen,,,,
Yuumi,Jarvan IV,Lucian,Sivir,12.15,FBI,Hans Sama,,,,
Amumu,Lee Sin,Nami,Leona,12.15,Huhi,CoreJJ,,,,
,,,,,,,100 Thieves,Team Liquid,red_side,blue_side
Trundle,Wukong,Ornn,Sett,12.15,ssumday,Bwipo,,,,
Draven,Kalista,Vi,Nocturne,12.15,Closer,Santorin,,,,
Azir,Sivir,Ahri,Swain,12.15,Abbedagge,Bjergsen,,,,
Xin Zhao,Renata Glasc,Zeri,Seraphine,12.15,FBI,Hans Sama,,,,
Aatrox,Yuumi,Lulu,Nautilus,12.15,Huhi,CoreJJ,,,,
,,,,,,,100 Thieves,Team Liquid,red_side,blue_side
Trundle,Wukong,Aatrox,Renekton,12.15,ssumday,Bwipo,,,,
Draven,Kalista,Lee Sin,Viego,12.15,Closer,Santorin,,,,
Vi,Sivir,Sylas,Azir,12.15,Abbedagge,Bjergsen,,,,
Amumu,Jarvan IV,Seraphine,Miss Fortune,12.15,Huhi,Hans Sama,,,,
Sett,Xin Zhao,Senna,Leona,12.15,FBI,CoreJJ,,,,
,,,,,,,100 Thieves,Team Liquid,blue_side,red_side
Senna,Yuumi,Renekton,Ornn,12.15,Dhokla,Licorice,,,,
Jarvan IV,Kalista,Trundle,Poppy,12.15,Contractz,River,,,,
Lucian,Yone,Viktor,Azir,12.15,Palafox,Ablazeolive,,,,
Lulu,Kennen,Sivir,Zeri,12.15,Luger,Stixxay,,,,
Karma,Taliyah,Renata Glasc,Janna,12.15,Poome,Olleh,,,,
,,,,,,,CLG,Golden Guardians,blue_side,red_side
Yone,Senna,Poppy,Aatrox,12.15,Licorice,Dhokla,,,,
Draven,Yuumi,Jarvan IV,Viego,12.15,River,Contractz,,,,
Trundle,Kalista,Taliyah,Azir,12.15,Ablazeolive,Palafox,,,,
Vi,LeBlanc,Zeri,Sivir,12.15,Stixxay,Luger,,,,
Kennen,Akali,Lulu,Nautilus,12.15,Olleh,Poome,,,,
,,,,,,,Golden Guardians,CLG,blue_side,red_side
Senna,Yuumi,Aatrox,Renekton,12.15,Dhokla,Licorice,,,,
Jarvan IV,Yone,Poppy,Volibear,12.15,Contractz,River,,,,
Zeri,Kalista,Ahri,Lissandra,12.15,Palafox,Ablazeolive,,,,
Viego,Nautilus,Sivir,Twitch,12.15,Luger,Stixxay,,,,
Ornn,Renata Glasc,Karma,Lulu,12.15,Poome,Olleh,,,,
,,,,,,,CLG,Golden Guardians,blue_side,red_side
Yone,Senna,Poppy,Ornn,12.15,Licorice,Dhokla,,,,
Draven,Yuumi,Jarvan IV,Wukong,12.15,River,Contractz,,,,
Trundle,Kalista,Sylas,LeBlanc,12.15,Ablazeolive,Palafox,,,,
Vi,Renata Glasc,Zeri,Sivir,12.15,Stixxay,Luger,,,,
Azir,Taliyah,Amumu,Lulu,12.15,Olleh,Poome,,,,
