champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Evelynn,7,7,75,12,43,100.0,9.83,10.71,1.71,6.14,2025-05-09 16:08:30
Kindred,52,22,337,271,336,42.31,2.48,6.48,5.21,6.46,2025-05-09 16:08:30
Master Yi,17,8,122,95,58,47.06,1.89,7.18,5.59,3.41,2025-05-09 16:08:30
Neeko,46,24,237,235,438,52.17,2.87,5.15,5.11,9.52,2025-05-09 16:08:30
Rengar,32,12,193,160,170,37.5,2.27,6.03,5.0,5.31,2025-05-09 16:08:30
Tristana,75,41,581,351,394,54.67,2.78,7.75,4.68,5.25,2025-05-09 16:08:30
Azir,63,21,297,359,310,33.33,1.69,4.71,5.7,4.92,2025-05-09 16:08:30
Viktor,60,35,311,309,387,58.33,2.26,5.18,5.15,6.45,2025-05-09 16:08:30
Akali,66,29,448,320,302,43.94,2.34,6.79,4.85,4.58,2025-05-09 16:08:30
Galio,71,29,303,320,719,40.85,3.19,4.27,4.51,10.13,2025-05-09 16:08:30
Belveth,20,7,145,99,99,35.0,2.46,7.25,4.95,4.95,2025-05-09 16:08:30
Kayn,110,60,814,517,716,54.55,2.96,7.4,4.7,6.51,2025-05-09 16:08:30
Smolder,19,10,91,89,112,52.63,2.28,4.79,4.68,5.89,2025-05-09 16:08:30
Shaco,27,13,166,120,244,48.15,3.42,6.15,4.44,9.04,2025-05-09 16:08:30
Pantheon,143,79,905,739,1244,55.24,2.91,6.33,5.17,8.7,2025-05-09 16:08:30
Sona,56,31,127,288,821,55.36,3.29,2.27,5.14,14.66,2025-05-09 16:08:30
Pyke,46,25,299,271,448,54.35,2.76,6.5,5.89,9.74,2025-05-09 16:08:30
Janna,70,37,117,314,1020,52.86,3.62,1.67,4.49,14.57,2025-05-09 16:08:30
Alistar,37,17,48,249,502,45.95,2.21,1.3,6.73,13.57,2025-05-09 16:08:30
Nami,80,40,118,355,1315,50.0,4.04,1.48,4.44,16.44,2025-05-09 16:08:30
Zed,102,59,693,495,534,57.84,2.48,6.79,4.85,5.24,2025-05-09 16:08:30
Gwen,32,17,192,163,158,53.12,2.15,6.0,5.09,4.94,2025-05-09 16:08:30
Gragas,36,14,163,162,245,38.89,2.52,4.53,4.5,6.81,2025-05-09 16:08:30
Akshan,26,13,253,153,136,50.0,2.54,9.73,5.88,5.23,2025-05-09 16:08:30
Ahri,74,35,388,311,456,47.3,2.71,5.24,4.2,6.16,2025-05-09 16:08:30
Xerath,24,13,133,103,199,54.17,3.22,5.54,4.29,8.29,2025-05-09 16:08:30
Taric,5,3,8,21,63,60.0,3.38,1.6,4.2,12.6,2025-05-09 16:08:30
Fizz,8,4,60,50,50,50.0,2.2,7.5,6.25,6.25,2025-05-09 16:08:30
Swain,20,9,88,119,177,45.0,2.23,4.4,5.95,8.85,2025-05-09 16:08:30
Ziggs,22,8,94,110,158,36.36,2.29,4.27,5.0,7.18,2025-05-09 16:08:30
