name,percentage,id,patch
Jax,3,35,11.6
Karthus,3,39,11.6
Kassadin,3,40,11.6
Kennen,3,43,11.6
LeBlanc,3,46,11.6
Lulu,3,51,11.6
Quinn,3,70,11.6
Sivir,3,83,11.6
Jhin,3,129,11.6
Ashe,2,8,11.6
Lee Sin,2,47,11.6
Miss Fortune,2,57,11.6
Rumble,2,75,11.6
Sejuani,2,77,11.6
Veigar,2,102,11.6
Xin Zhao,2,110,11.6
Ziggs,2,115,11.6
Ekko,2,125,11.6
Kayn,2,137,11.6
Pyke,2,141,11.6
Dr. Mundo,1,17,11.6
Draven,1,18,11.6
Evelynn,1,20,11.6
Jarvan IV,1,34,11.6
KhaZix,1,44,11.6
Malzahar,1,54,11.6
Maokai,1,55,11.6
Mordekaiser,1,58,11.6
Morgana,1,59,11.6
Nasus,1,61,11.6
Poppy,1,69,11.6
Riven,1,74,11.6
Shen,1,79,11.6
Swain,1,87,11.6
Trundle,1,94,11.6
Yasuo,1,111,11.6
RekSai,1,122,11.6
VelKoz,1,123,11.6
Bard,1,124,11.6
Kindred,1,127,11.6
Taliyah,1,131,11.6
Neeko,1,142,11.6
Qiyana,1,145,11.6
Annie,0,7,11.6
Cassiopeia,0,12,11.6
Elise,0,19,11.6
Fiddlesticks,0,22,11.6
KogMaw,0,45,11.6
Lissandra,0,49,11.6
Nami,0,60,11.6
Soraka,0,86,11.6
Taric,0,90,11.6
Tryndamere,0,95,11.6
Vladimir,0,105,11.6
Yorick,0,112,11.6
Aurelion Sol,0,130,11.6
Kled,0,132,11.6
Hecarim,97,30,11.7
Seraphine,89,152,11.7
Orianna,88,67,11.7
Udyr,85,98,11.7
Tristana,84,93,11.7
Thresh,81,92,11.7
Jinx,73,37,11.7
Nocturne,68,64,11.7
Kaisa,65,140,11.7
Renekton,64,72,11.7
Gnar,64,119,11.7
Rell,58,153,11.7
Akali,53,3,11.7
Alistar,50,4,11.7
Varus,47,100,11.7
Tahm Kench,47,126,11.7
Viktor,46,104,11.7
Sylas,46,143,11.7
Sion,41,82,11.7
Lillia,36,149,11.7
Twisted Fate,35,96,11.7
Ryze,32,76,11.7
Volibear,31,106,11.7
Syndra,28,88,11.7
Rakan,28,136,11.7
Gangplank,24,26,11.7
Nautilus,24,62,11.7
Senna,23,146,11.7
Zoe,22,139,11.7
Irelia,20,32,11.7
Leona,20,48,11.7
Aatrox,19,1,11.7
Xayah,19,135,11.7
Lucian,18,50,11.7
Olaf,18,66,11.7
Gragas,16,28,11.7
Jayce,16,36,11.7
Karthus,16,39,11.7
Ashe,15,8,11.7
Ezreal,15,21,11.7
Nidalee,15,63,11.7
Xin Zhao,15,110,11.7
Braum,15,118,11.7
Camille,15,134,11.7
Karma,14,38,11.7
Darius,12,15,11.7
Urgot,12,99,11.7
Skarner,11,84,11.7
Aphelios,11,147,11.7
Annie,8,7,11.7
Fiora,8,23,11.7
Ornn,8,138,11.7
Cassiopeia,7,12,11.7
Chogath,7,13,11.7
Galio,7,25,11.7
Wukong,7,108,11.7
Vayne,5,101,11.7
Azir,5,120,11.7
Kayn,5,137,11.7
Sett,5,148,11.7
Corki,4,14,11.7
Evelynn,4,20,11.7
Kassadin,4,40,11.7
KhaZix,4,44,11.7
Lux,4,52,11.7
Malphite,4,53,11.7
Sivir,4,83,11.7
Garen,3,27,11.7
Graves,3,29,11.7
Kennen,3,43,11.7
Lee Sin,3,47,11.7
Malzahar,3,54,11.7
Nami,3,60,11.7
Zed,3,114,11.7
Jhin,3,129,11.7
Yone,3,150,11.7
Samira,3,151,11.7
Ahri,1,2,11.7
Caitlyn,1,11,11.7
Diana,1,16,11.7
Draven,1,18,11.7
Fizz,1,24,11.7
Katarina,1,41,11.7
Nasus,1,61,11.7
Quinn,1,70,11.7
Taric,1,90,11.7
Vladimir,1,105,11.7
Warwick,1,107,11.7
Yasuo,1,111,11.7
Yorick,1,112,11.7
Zyra,1,117,11.7
Kalista,1,121,11.7
VelKoz,1,123,11.7
Bard,1,124,11.7
Ekko,1,125,11.7
Kindred,1,127,11.7
Ivern,1,133,11.7
Pyke,1,141,11.7
Neeko,1,142,11.7
Qiyana,1,145,11.7
Udyr,95,98,11.9
Renekton,93,72,11.9
Lee Sin,91,47,11.9
Kaisa,90,140,11.9
Varus,86,100,11.9
Morgana,85,59,11.9
Thresh,84,92,11.9
Gnar,83,119,11.9
Lucian,80,50,11.9
Nautilus,80,62,11.9
Rumble,75,75,11.9
Leona,68,48,11.9
Orianna,59,67,11.9
Senna,59,146,11.9
Tristana,57,93,11.9
Jayce,54,36,11.9
Zoe,54,139,11.9
Viktor,49,104,11.9
Sylas,49,143,11.9
Nocturne,47,64,11.9
Alistar,46,4,11.9
Sett,32,148,11.9
Rell,31,153,11.9
Tahm Kench,26,126,11.9
Sion,25,82,11.9
Urgot,22,99,11.9
Ryze,21,76,11.9
Syndra,21,88,11.9
Xayah,21,135,11.9
Nidalee,20,63,11.9
Gangplank,15,26,11.9
Twisted Fate,15,96,11.9
Wukong,15,108,11.9
Olaf,14,66,11.9
Volibear,14,106,11.9
Kalista,14,121,11.9
Galio,12,25,11.9
Rakan,11,136,11.9
Akali,10,3,11.9
Jinx,10,37,11.9
Braum,10,118,11.9
Qiyana,9,145,11.9
Aphelios,9,147,11.9
