champion,games,wins,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Zilean,724,405,55.94,1.96,4.07,12.84,3.64,2025-04-15 22:38:41
Lux,864,480,55.56,5.18,4.57,9.22,3.15,2025-04-15 22:38:41
Xayah,629,369,58.66,6.74,4.86,6.57,2.74,2025-04-15 22:38:41
Mel,919,465,50.6,7.93,4.9,5.59,2.76,2025-04-15 22:38:41
Lucian,932,506,54.29,7.02,5.08,5.86,2.53,2025-04-15 22:38:41
Missfortune,1247,720,57.74,6.27,4.82,7.06,2.76,2025-04-15 22:38:41
Lissandra,361,194,53.74,4.71,5.18,9.04,2.65,2025-04-15 22:38:41
Syndra,1578,921,58.37,5.75,4.47,6.4,2.72,2025-04-15 22:38:41
Ziggs,297,173,58.25,4.8,4.17,7.27,2.9,2025-04-15 22:38:41
Caitlyn,969,555,57.28,6.35,4.82,5.98,2.56,2025-04-15 22:38:41
Gragas,939,519,55.27,4.2,4.56,7.69,2.6,2025-04-15 22:38:41
Xerath,250,141,56.4,5.87,4.41,9.04,3.38,2025-04-15 22:38:41
Brand,156,73,46.79,5.06,5.14,8.25,2.59,2025-04-15 22:38:41
Evelynn,191,106,55.5,8.66,4.7,7.13,3.36,2025-04-15 22:38:41
Zac,411,232,56.45,4.61,3.95,10.38,3.8,2025-04-15 22:38:41
Graves,603,326,54.06,7.97,4.66,6.15,3.03,2025-04-15 22:38:41
Quinn,505,309,61.19,7.08,5.43,6.05,2.42,2025-04-15 22:38:41
Gnar,879,483,54.95,4.43,4.65,5.31,2.09,2025-04-15 22:38:41
Tryndamere,722,401,55.54,5.46,5.02,4.44,1.97,2025-04-15 22:38:41
Volibear,781,444,56.85,5.87,4.78,7.31,2.76,2025-04-15 22:38:41
Sett,452,271,59.96,5.18,5.69,5.98,1.96,2025-04-15 22:38:41
Fiddlesticks,731,428,58.55,4.69,5.13,10.89,3.04,2025-04-15 22:38:41
Elise,1312,737,56.17,6.41,5.89,8.87,2.59,2025-04-15 22:38:41
Kennen,705,407,57.73,5.86,5.17,6.64,2.42,2025-04-15 22:38:41
Milio,428,225,52.57,0.9,3.68,14.01,4.05,2025-04-15 22:38:41
Drmundo,554,281,50.72,4.63,4.1,6.87,2.81,2025-04-15 22:38:41
Seraphine,549,316,57.56,3.38,4.38,11.87,3.48,2025-04-15 22:38:41
Kogmaw,335,212,63.28,7.22,5.71,6.31,2.37,2025-04-15 22:38:41
Ksante,773,445,57.57,3.97,4.18,6.36,2.47,2025-04-15 22:38:41
Ivern,332,181,54.52,3.11,3.3,14.29,5.28,2025-04-15 22:38:41
Janna,1173,681,58.06,1.5,3.98,14.6,4.04,2025-04-15 22:38:41
Yuumi,305,140,45.9,1.11,3.28,14.01,4.62,2025-04-15 22:38:41
Hecarim,1051,618,58.8,7.22,4.56,8.35,3.41,2025-04-15 22:38:41
